,temp,dewp,stp,visib,wdsp,mxpsd,max,min,prcp,fog,rain_drizzle,snow_ice_pellets,hail,thunder,tornado_funnel_cloud,prim_key,date
143,52.2,34.8,1014.3,10.0,6.7,18.1,72.5,42.6,0.02,0,1,0,0,1,0,747804_13824,2017-01-27
144,71.5,62.1,993.0,8.9,4.1,8.9,88.0,66.0,0.04,0,1,0,0,1,0,722181_13837,2017-05-13
145,62.2,61.6,1004.4,5.9,4.3,31.1,64.9,44.1,2.34,1,1,0,0,1,0,722255_93842,2017-01-02
146,77.6,70.6,1004.2,8.9,4.1,15.9,90.0,73.0,0.36,0,1,0,0,0,0,722181_13837,2017-06-30
147,75.6,73.2,982.2,6.9,7.6,14.0,84.0,72.0,0.14,0,1,0,0,0,0,722197_53819,2017-10-08
148,74.4,72.3,968.5,9.6,5.1,11.1,78.1,70.0,1.36,0,1,0,0,0,0,722185_53838,2017-10-09
149,72.4,69.9,998.8,8.7,4.1,21.0,82.0,66.9,1.87,0,1,0,0,1,0,722166_93845,2017-06-07
150,74.1,70.2,1014.2,5.8,19.3,28.0,79.0,68.0,0.14,0,1,0,0,0,0,722137_13878,2017-09-10
151,73.2,71.7,973.2,7.1,6.1,9.9,79.0,70.0,0.0,0,1,0,0,0,0,747808_63803,2017-10-08
152,78.7,71.5,1007.0,10.0,5.1,8.0,90.0,75.0,0.13,0,0,0,0,0,0,723160_13870,2017-08-27
153,48.2,41.0,1003.9,9.1,4.8,17.1,63.9,35.6,0.62,0,1,0,0,0,0,722175_13860,2017-01-06
154,78.6,71.1,998.9,9.3,5.0,14.0,91.9,73.4,0.38,0,1,0,0,1,0,722181_13837,2017-07-24
155,56.0,49.7,987.9,10.0,9.9,17.1,67.3,48.0,0.04,0,1,0,0,0,0,722250_13829,2017-01-23
156,58.6,54.4,982.0,8.5,3.8,12.0,64.9,50.0,1.81,0,1,0,0,0,0,722195_3888,2017-01-03
157,66.4,62.8,978.8,8.8,5.6,31.1,79.0,61.0,1.28,1,1,0,0,1,0,723200_93801,2017-05-24
158,79.2,73.5,1010.9,9.9,1.8,12.0,93.0,73.0,0.0,0,1,0,0,1,0,723160_13870,2017-08-09
159,78.0,67.6,980.2,7.6,4.4,22.0,91.9,69.1,0.01,0,1,0,0,1,0,722196_53863,2017-06-15
160,73.2,65.3,979.4,6.6,4.8,12.0,84.0,63.0,0.02,1,0,0,0,0,0,722196_53863,2017-04-28
161,78.8,74.1,1008.5,8.6,3.4,8.9,91.0,66.9,0.0,0,1,0,0,0,0,722166_93845,2017-08-30
162,62.7,59.6,982.2,9.0,4.1,8.9,82.0,55.9,0.56,0,1,0,0,1,0,722156_53873,2017-04-23
163,73.4,70.0,997.3,8.3,7.7,14.0,82.9,66.9,0.82,0,1,0,0,0,0,723160_13870,2017-05-24
164,68.3,64.4,983.0,7.0,1.7,8.0,82.9,61.0,0.0,0,1,0,0,0,0,747808_63803,2017-10-15
165,64.7,59.2,967.6,9.2,6.4,9.9,75.0,55.0,0.15,0,1,0,0,0,0,722185_53838,2017-09-13
166,79.6,74.6,1009.3,7.5,2.0,7.0,93.0,70.0,0.11,0,1,0,0,1,0,722166_93845,2017-08-08
167,49.7,49.7,975.3,3.6,6.4,9.9,53.1,37.0,0.59,1,1,0,0,0,0,722185_53838,2017-01-02
168,67.8,63.2,1005.7,8.3,4.8,15.0,82.0,51.1,0.03,1,1,0,0,0,0,722166_93845,2017-01-20
169,67.4,57.7,986.2,9.5,7.2,17.1,79.0,48.9,0.0,0,1,0,0,1,0,722195_3888,2017-03-01
